subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.256806907947997,2.3253881922919044,0.5733333333333334,0.555,0.018333333333333313,204,1,symmetry,75.8138767919736,True,False,97,independent_fallback
none,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.251740935943405,2.3852178598791083,0.5888888888888889,0.5383333333333333,0.050555555555555576,204,1,symmetry,72.1574974169489,True,False,92,independent_fallback
Z2_reflection,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2181440575245364,2.3173591164547913,0.6,0.57,0.030000000000000027,126,2,symmetry,67.75369912502356,True,False,97,independent_fallback
Z2_reflection,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2460586960463087,2.2935093316442465,0.5933333333333334,0.5633333333333334,0.030000000000000027,126,2,symmetry,71.65535841707606,True,False,92,independent_fallback
Z2_reflection,3,2,0,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3434442698850146,2.4219346691832286,0.5555555555555556,0.5183333333333333,0.03722222222222227,126,2,random,69.3349979169434,True,False,97,independent_fallback
