subgroup,category,order,params,test@30,test@120,mean_test,mean_gap,min_n
none,none,1,204,0.4716666666666667,0.4883333333333333,0.48,0.33666666666666667,2
Z2_rot180,partial,2,108,0.4691666666666666,0.5208333333333333,0.49499999999999994,0.25916666666666666,2
Z2_reflection,partial,2,126,0.4891666666666667,0.5341666666666667,0.5116666666666667,0.28833333333333333,2
C4,partial,4,60,0.47666666666666657,0.535,0.5058333333333334,0.19416666666666668,2
D2_V4,partial,4,78,0.49083333333333334,0.5233333333333333,0.5070833333333333,0.18458333333333338,2
D4,full,8,54,0.4816666666666667,0.54,0.5108333333333334,0.20791666666666664,2
