subgroup,category,order,params,test@3,test@6,test@9,test@12,test@15,test@18,test@24,test@30,test@45,test@60,test@90,test@120,mean_test,mean_gap,min_n
C4,partial,4,60,0.41933333333333334,0.45966666666666667,0.4623333333333333,0.4696666666666666,0.505,0.5033333333333333,0.5156666666666666,0.5523333333333333,0.545,0.5716666666666667,0.5896666666666667,0.6296666666666667,0.5186111111111111,0.3767592592592593,5
D4,full,8,54,0.3823333333333333,0.4456666666666666,0.4766666666666667,0.497,0.499,0.49833333333333335,0.5106666666666666,0.5306666666666666,0.5473333333333332,0.583,0.5786666666666667,0.6293333333333333,0.514888888888889,0.3637685185185186,5
