subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.556203618636765,2.369663183713886,0.875,0.555,0.31999999999999995,204,1,symmetry,658.3437280419748,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.505075968139947,2.4115107125496267,0.8833333333333333,0.53,0.3533333333333333,204,1,symmetry,643.9660097919405,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.4737271668648024,2.5089934010122152,0.8666666666666667,0.495,0.3716666666666667,204,1,symmetry,726.4542697089491,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.4764136101435157,2.4486503411998837,0.8666666666666667,0.5183333333333333,0.3483333333333334,204,1,symmetry,610.5924749589758,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.5155197446405841,2.5028002226560138,0.85,0.525,0.32499999999999996,204,1,symmetry,1082.2837137080496,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.932508321230781,2.147147206305844,0.7577777777777778,0.66,0.09777777777777774,204,1,symmetry,710.7413417079952,True,False,97,independent_fallback,0.0,0.0,0,none,()
