circuit_family,subgroup,train_size,n,train_accuracy,test_accuracy,generalization_gap,num_parameters
line_zzz,C4,3,3,1.0,0.38000000000000006,0.62,54.0
line_zzz,D2_V4,3,3,1.0,0.3444444444444444,0.6555555555555556,78.0
line_zzz,D4,3,3,1.0,0.38000000000000006,0.62,54.0
line_zzz,Z2_reflection,3,3,1.0,0.34944444444444445,0.6505555555555556,108.0
line_zzz,Z2_rot180,3,3,1.0,0.3466666666666667,0.6533333333333333,96.0
line_zzz,none,3,3,1.0,0.295,0.7050000000000001,156.0
line_zzz,C4,6,3,1.0,0.4066666666666667,0.5933333333333334,54.0
line_zzz,D2_V4,6,3,1.0,0.4261111111111111,0.5738888888888889,78.0
line_zzz,D4,6,3,1.0,0.4066666666666667,0.5933333333333334,54.0
line_zzz,Z2_reflection,6,3,1.0,0.4116666666666667,0.5883333333333334,108.0
line_zzz,Z2_rot180,6,3,1.0,0.3661111111111111,0.633888888888889,96.0
line_zzz,none,6,3,1.0,0.3738888888888889,0.6261111111111112,156.0
line_zzz,C4,9,3,1.0,0.4566666666666667,0.5433333333333333,54.0
line_zzz,D2_V4,9,3,0.9629629629629629,0.4266666666666667,0.5362962962962964,78.0
line_zzz,D4,9,3,1.0,0.4566666666666667,0.5433333333333333,54.0
line_zzz,Z2_reflection,9,3,1.0,0.445,0.555,108.0
line_zzz,Z2_rot180,9,3,1.0,0.42444444444444446,0.5755555555555555,96.0
line_zzz,none,9,3,1.0,0.4155555555555555,0.5844444444444444,156.0
line_zzz,C4,12,3,0.9444444444444443,0.4872222222222222,0.4572222222222222,54.0
line_zzz,D2_V4,12,3,1.0,0.44222222222222224,0.5577777777777778,78.0
line_zzz,D4,12,3,0.9444444444444443,0.4872222222222222,0.4572222222222222,54.0
line_zzz,Z2_reflection,12,3,1.0,0.44222222222222224,0.5577777777777778,108.0
line_zzz,Z2_rot180,12,3,1.0,0.4177777777777778,0.5822222222222222,96.0
line_zzz,none,12,3,1.0,0.4077777777777778,0.5922222222222222,156.0
line_zzz,C4,15,3,0.9333333333333332,0.4883333333333333,0.445,54.0
line_zzz,D2_V4,15,3,0.9555555555555556,0.43,0.5255555555555557,78.0
line_zzz,D4,15,3,0.9333333333333332,0.4883333333333333,0.445,54.0
line_zzz,Z2_reflection,15,3,0.9555555555555556,0.4272222222222222,0.5283333333333333,108.0
line_zzz,Z2_rot180,15,3,0.9333333333333332,0.455,0.47833333333333333,96.0
line_zzz,none,15,3,0.9777777777777779,0.4155555555555555,0.5622222222222222,156.0
line_zzz,C4,18,3,0.9259259259259259,0.4905555555555556,0.43537037037037035,54.0
line_zzz,D2_V4,18,3,0.8888888888888888,0.4511111111111111,0.43777777777777777,78.0
line_zzz,D4,18,3,0.9259259259259259,0.4905555555555556,0.43537037037037035,54.0
line_zzz,Z2_reflection,18,3,0.9629629629629629,0.44722222222222224,0.5157407407407407,108.0
line_zzz,Z2_rot180,18,3,0.9074074074074074,0.4494444444444445,0.4579629629629629,96.0
line_zzz,none,18,3,0.9814814814814815,0.41111111111111115,0.5703703703703704,156.0
line_zzz,C4,24,3,0.8472222222222222,0.5311111111111111,0.31611111111111106,54.0
line_zzz,D2_V4,24,3,0.8888888888888888,0.4855555555555556,0.4033333333333333,78.0
line_zzz,D4,24,3,0.8472222222222222,0.5311111111111111,0.31611111111111106,54.0
line_zzz,Z2_reflection,24,3,0.9722222222222223,0.435,0.5372222222222223,108.0
line_zzz,Z2_rot180,24,3,0.9027777777777777,0.465,0.43777777777777777,96.0
line_zzz,none,24,3,0.9861111111111112,0.4533333333333333,0.5327777777777777,156.0
line_zzz,C4,30,3,0.7888888888888889,0.5177777777777778,0.27111111111111114,54.0
line_zzz,D2_V4,30,3,0.8444444444444444,0.5005555555555555,0.3438888888888889,78.0
line_zzz,D4,30,3,0.7888888888888889,0.5177777777777778,0.27111111111111114,54.0
line_zzz,Z2_reflection,30,3,0.9333333333333332,0.4688888888888889,0.46444444444444444,108.0
line_zzz,Z2_rot180,30,3,0.9,0.45222222222222225,0.4477777777777778,96.0
line_zzz,none,30,3,0.9333333333333332,0.48,0.45333333333333337,156.0
line_zzz,C4,45,3,0.8148148148148149,0.5688888888888889,0.2459259259259259,54.0
line_zzz,D2_V4,45,3,0.8296296296296296,0.4772222222222222,0.35240740740740745,78.0
line_zzz,D4,45,3,0.8148148148148149,0.5688888888888889,0.2459259259259259,54.0
line_zzz,Z2_reflection,45,3,0.8518518518518517,0.4811111111111111,0.37074074074074076,108.0
line_zzz,Z2_rot180,45,3,0.8666666666666667,0.47500000000000003,0.3916666666666666,96.0
line_zzz,none,45,3,0.8962962962962963,0.46277777777777773,0.43351851851851847,156.0
line_zzz,C4,60,3,0.7666666666666666,0.5616666666666666,0.205,54.0
line_zzz,D2_V4,60,3,0.7611111111111111,0.5061111111111112,0.25499999999999995,78.0
line_zzz,D4,60,3,0.7666666666666666,0.5616666666666666,0.205,54.0
line_zzz,Z2_reflection,60,3,0.8222222222222223,0.48833333333333334,0.3338888888888889,108.0
line_zzz,Z2_rot180,60,3,0.8111111111111112,0.4761111111111111,0.33499999999999996,96.0
line_zzz,none,60,3,0.8777777777777778,0.47833333333333333,0.39944444444444444,156.0
line_zzz,C4,90,3,0.6777777777777777,0.5527777777777778,0.12499999999999996,54.0
line_zzz,D2_V4,90,3,0.7740740740740741,0.5916666666666667,0.18240740740740743,78.0
line_zzz,D4,90,3,0.6777777777777777,0.5527777777777778,0.12499999999999996,54.0
line_zzz,Z2_reflection,90,3,0.7851851851851852,0.5472222222222222,0.23796296296296296,108.0
line_zzz,Z2_rot180,90,3,0.7814814814814816,0.5405555555555556,0.2409259259259259,96.0
line_zzz,none,90,3,0.8333333333333334,0.5144444444444445,0.31888888888888883,156.0
line_zzz,C4,120,3,0.6805555555555557,0.5955555555555555,0.08500000000000003,54.0
line_zzz,D2_V4,120,3,0.7305555555555555,0.58,0.15055555555555555,78.0
line_zzz,D4,120,3,0.6805555555555557,0.5955555555555555,0.08500000000000003,54.0
line_zzz,Z2_reflection,120,3,0.7194444444444444,0.5466666666666667,0.17277777777777778,108.0
line_zzz,Z2_rot180,120,3,0.7444444444444445,0.5877777777777778,0.15666666666666665,96.0
line_zzz,none,120,3,0.8055555555555555,0.5266666666666667,0.27888888888888885,156.0
