subgroup,category,order,params,test@30,test@120,test@450,mean_test,mean_gap,min_n
D4,full,8,54,0.5306666666666666,0.6293333333333333,0.6883333333333334,0.616111111111111,0.15385185185185185,5
D4_pair_tied,beyond_D4,8,42,0.5563333333333333,0.6016666666666667,0.657,0.605,0.1298518518518518,5
D4_qubit_tied,beyond_D4,8,30,0.5423333333333333,0.6116666666666667,0.6536666666666667,0.6025555555555555,0.12477777777777777,5
D4_all_tied,beyond_D4,8,18,0.5096666666666667,0.5429999999999999,0.546,0.5328888888888889,0.09225925925925922,5
