subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,3.021305416643194,3.219895454493743,0.425,0.3433333333333333,0.08166666666666667,34,1,symmetry,3.3640579170314595,True,True,0,disjoint
none,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.9031908001075397,3.1391513541162865,0.55,0.43333333333333335,0.1166666666666667,34,1,symmetry,3.2146846669493243,True,True,0,disjoint
none,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.8658523779705556,3.182173519990091,0.475,0.4066666666666667,0.0683333333333333,34,1,symmetry,3.30244700005278,True,True,0,disjoint
D4,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.962520927102784,3.106672803997363,0.43333333333333335,0.36,0.07333333333333336,9,8,symmetry,3.234363624942489,True,True,0,disjoint
D4,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.8318329175483528,3.0399013835847817,0.5333333333333333,0.44,0.09333333333333332,9,8,symmetry,3.2094295830465853,True,True,0,disjoint
D4,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.8332646837392264,3.0291176190908975,0.5166666666666667,0.45666666666666667,0.06000000000000005,9,8,symmetry,3.2010955000296235,True,True,0,disjoint
