section,figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family,epsilon,class
paper,fig01,results_reproduction.csv,test_accuracy,5,0.6883333333333334,0.0410791918128874,0.0360074992189127,54.0,D4,,,,,,,,,
paper,fig01,results_reproduction.csv,test_accuracy,5,0.6136666666666667,0.0330067333198007,0.0289316773719664,204.0,none,,,,,,,,,
paper,fig01,results_reproduction.csv,generalization_gap,5,0.0232222222222222,0.0163742872806915,0.0143526956215527,54.0,D4,,,,,,,,,
paper,fig01,results_reproduction.csv,generalization_gap,5,0.0938888888888888,0.0181811868577261,0.0159365129323965,204.0,none,,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5523333333333333,0.0574286997550489,0.0503384747925922,60.0,C4,30.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5716666666666667,0.0463081466314993,0.0405908802017837,60.0,C4,60.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6296666666666667,0.0507636133903452,0.0444962690071376,60.0,C4,120.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.632,0.0583023727361645,0.051104282925537,60.0,C4,240.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.689,0.0190977020141749,0.01673987388775,60.0,C4,450.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5503333333333333,0.0342661154300668,0.0300355744631817,78.0,D2_V4,30.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5656666666666667,0.0357188092373378,0.0313089167277737,78.0,D2_V4,60.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.586,0.0357576720594491,0.0313429814932927,78.0,D2_V4,120.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6183333333333334,0.0464429159769758,0.040709010741549,78.0,D2_V4,240.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6656666666666666,0.0078704793020783,0.0068987792801013,78.0,D2_V4,450.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5306666666666666,0.0547798624800512,0.0480166665509661,54.0,D4,30.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.583,0.0498804125439591,0.0437221093320581,54.0,D4,60.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6293333333333333,0.0476911359106117,0.0418031237535612,54.0,D4,120.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6446666666666666,0.033216461782275,0.0291155124747387,54.0,D4,240.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6883333333333334,0.0410791918128874,0.0360074992189127,54.0,D4,450.0,,,,,,,,
paper,fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.481,0.0369797241742012,0.0324141574007408,126.0,Z2_reflection,30.0,,,,,,,,
