subgroup,category,order,params,test@30,test@60,test@120,test@240,test@450,mean_test,mean_gap,min_n
none,none,1,204,0.44333333333333336,0.49366666666666664,0.5246666666666667,0.5429999999999999,0.6136666666666667,0.5236666666666667,0.3360111111111111,5
Z2_rot180,partial,2,108,0.4953333333333333,0.527,0.5653333333333334,0.5930000000000001,0.6773333333333333,0.5716,0.2316444444444444,5
Z2_reflection,partial,2,126,0.48100000000000004,0.5073333333333333,0.5626666666666666,0.6006666666666667,0.6776666666666666,0.5658666666666666,0.26465555555555553,5
C4,partial,4,60,0.5523333333333333,0.5716666666666667,0.6296666666666667,0.632,0.689,0.6149333333333333,0.15011111111111114,5
D2_V4,partial,4,78,0.5503333333333333,0.5656666666666667,0.586,0.6183333333333334,0.6656666666666666,0.5972,0.19876666666666665,5
D4,full,8,54,0.5306666666666666,0.583,0.6293333333333333,0.6446666666666666,0.6883333333333334,0.6152,0.14794444444444443,5
