circuit_family,subgroup,train_size,random_sharing,n,test_accuracy,train_accuracy,generalization_gap,num_parameters,source
edge_line_zzz_ccrz,D4,30,False,10,0.5676666666666667,0.9400000000000001,0.3723333333333333,90.0,results_paper_consistent_edge_lines_L3p2.csv
edge_line_zzz_ccrz,D4,60,False,10,0.6496666666666667,0.8866666666666667,0.23699999999999993,90.0,results_paper_consistent_edge_lines_L3p2.csv
edge_line_zzz_ccrz,D4,120,False,10,0.6873333333333334,0.8300000000000001,0.14266666666666658,90.0,results_paper_consistent_edge_lines_L3p2.csv
edge_line_zzz_ccrz,D4,240,False,10,0.7268333333333333,0.7916666666666666,0.06483333333333326,90.0,results_paper_consistent_edge_lines_L3p2.csv
edge_line_zzz_ccrz,D4,450,False,10,0.7668333333333333,0.7895555555555556,0.02272222222222221,90.0,results_paper_consistent_edge_lines_L3p2.csv
edge_line_zzz_ccrz,D4,600,False,10,0.7846666666666666,0.804,0.01933333333333332,90.0,results_paper_consistent_edge_lines_L3p2.csv
edge,C4,600,False,10,0.6953333333333334,0.7103333333333334,0.01499999999999998,60.0,results_paper_consistent_ablation_L3p2_train600.csv
edge,D4,600,False,10,0.6871666666666666,0.7078333333333333,0.02066666666666666,54.0,results_paper_consistent_ablation_L3p2_train600.csv
edge_line_ccrz,C4,600,False,10,0.7131666666666667,0.7383333333333333,0.025166666666666636,78.0,results_paper_consistent_ablation_L3p2_train600.csv
edge_line_ccrz,D4,600,False,10,0.7356666666666667,0.762,0.0263333333333333,72.0,results_paper_consistent_ablation_L3p2_train600.csv
edge_line_zzz,C4,600,False,10,0.757,0.7711666666666667,0.014166666666666671,78.0,results_paper_consistent_ablation_L3p2_train600.csv
edge_line_zzz,D4,600,False,10,0.745,0.7638333333333334,0.01883333333333331,72.0,results_paper_consistent_ablation_L3p2_train600.csv
edge_line_zzz_ccrz,C4,600,False,10,0.7706666666666667,0.7946666666666666,0.02399999999999997,96.0,results_paper_consistent_ablation_L3p2_train600.csv
edge_line_zzz_ccrz,D4,600,False,10,0.7846666666666666,0.804,0.01933333333333332,90.0,results_paper_consistent_ablation_L3p2_train600.csv
line_ccrz,C4,600,False,10,0.7098333333333333,0.7278333333333333,0.01799999999999997,54.0,results_paper_consistent_ablation_L3p2_train600.csv
line_ccrz,D4,600,False,10,0.7098333333333333,0.7278333333333333,0.01799999999999997,54.0,results_paper_consistent_ablation_L3p2_train600.csv
line_pair_crz,C4,600,False,10,0.6651666666666667,0.6875,0.02233333333333331,54.0,results_paper_consistent_ablation_L3p2_train600.csv
line_pair_crz,D4,600,False,10,0.6651666666666667,0.6875,0.02233333333333331,54.0,results_paper_consistent_ablation_L3p2_train600.csv
line_zzz,C4,600,False,10,0.6865,0.7053333333333334,0.01883333333333332,54.0,results_paper_consistent_ablation_L3p2_train600.csv
line_zzz,D4,600,False,10,0.6865,0.7053333333333334,0.01883333333333332,54.0,results_paper_consistent_ablation_L3p2_train600.csv
line_zzz_ccrz,C4,600,False,10,0.7456666666666667,0.7661666666666667,0.02049999999999999,72.0,results_paper_consistent_ablation_L3p2_train600.csv
line_zzz_ccrz,D4,600,False,10,0.7456666666666667,0.7661666666666667,0.02049999999999999,72.0,results_paper_consistent_ablation_L3p2_train600.csv
edge,C4,600,False,10,0.6953333333333334,0.7103333333333334,0.01499999999999998,60.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,C4,600,True,10,0.561,0.6023333333333334,0.04133333333333329,60.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,D2_V4,600,False,10,0.6778333333333333,0.7003333333333334,0.02249999999999998,78.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,D2_V4,600,True,10,0.5843333333333334,0.6301666666666667,0.045833333333333295,78.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,D4,600,False,10,0.6871666666666666,0.7078333333333333,0.02066666666666666,54.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,D4,600,True,10,0.5723333333333332,0.6063333333333334,0.034,54.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,Z2_reflection,600,False,10,0.6706666666666667,0.7101666666666666,0.039499999999999966,126.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,Z2_reflection,600,True,10,0.5926666666666667,0.6481666666666667,0.05549999999999992,126.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,Z2_rot180,600,False,10,0.6671666666666667,0.6986666666666667,0.03149999999999997,108.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,Z2_rot180,600,True,10,0.5873333333333333,0.6391666666666667,0.0518333333333333,108.0,results_paper_consistent_random_sharing_L3p2_train600.csv
edge,none,600,False,10,0.6266666666666667,0.6966666666666667,0.06999999999999998,204.0,results_paper_consistent_random_sharing_L3p2_train600.csv
