subgroup,category,order,params,test@30,test@120,test@450,mean_test,mean_gap,min_n
none,none,1,25,0.40888888888888886,0.39111111111111113,0.3644444444444444,0.38814814814814813,0.0466049382716049,3
Z2_rot180,partial,2,13,0.4244444444444444,0.4255555555555555,0.37888888888888883,0.40962962962962957,0.03586419753086418,3
Z2_reflection,partial,2,15,0.41888888888888887,0.3933333333333333,0.3788888888888889,0.397037037037037,0.03413580246913579,3
C4,partial,4,7,0.4244444444444444,0.42111111111111105,0.37999999999999995,0.40851851851851845,0.0451234567901234,3
D2_V4,partial,4,9,0.4144444444444444,0.40111111111111103,0.35666666666666663,0.39074074074074067,0.04092592592592589,3
D4,full,8,6,0.42111111111111105,0.43,0.3855555555555556,0.4122222222222222,0.036358024691358,3
