subgroup,category,order,params,test@450,mean_test,mean_gap,min_n
none,none,1,204,0.5496666666666667,0.5496666666666667,0.03477777777777772,5
Z2_rot180,partial,2,108,0.5536666666666668,0.5536666666666668,0.03477777777777774,5
Z2_reflection,partial,2,126,0.5700000000000001,0.5700000000000001,0.03444444444444442,5
C4,partial,4,60,0.5396666666666666,0.5396666666666666,0.014555555555555561,5
D2_V4,partial,4,78,0.5676666666666667,0.5676666666666667,0.015000000000000003,5
D4,full,8,54,0.5703333333333334,0.5703333333333334,0.01011111111111104,5
