subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,1,1,0,450,600,15,50,15,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.6810869193091893,2.783832505046493,0.5155555555555555,0.515,0.0005555555555555314,34,1,symmetry,37.44614516699221,True,False,97,independent_fallback
none,1,1,1,450,600,15,50,15,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7124544942631523,2.7657141169820316,0.5288888888888889,0.525,0.0038888888888888307,34,1,symmetry,37.788482790929265,True,False,92,independent_fallback
none,1,1,2,450,600,15,50,15,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.675497258728593,2.8044382794552516,0.5355555555555556,0.4816666666666667,0.053888888888888875,34,1,symmetry,38.013534375000745,True,False,96,independent_fallback
D4,1,1,0,450,600,15,50,15,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.660419745280831,2.7465375981654736,0.5266666666666666,0.5066666666666667,0.019999999999999907,9,8,symmetry,36.648321332992055,True,False,97,independent_fallback
D4,1,1,1,450,600,15,50,15,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7648473090915746,2.732698718228398,0.5,0.5283333333333333,-0.02833333333333332,9,8,symmetry,36.947587040951476,True,False,92,independent_fallback
D4,1,1,2,450,600,15,50,15,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7084378185474773,2.8015463705443544,0.5155555555555555,0.495,0.02055555555555555,9,8,symmetry,37.012403666973114,True,False,96,independent_fallback
