subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
C4,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.713229643600759,2.789184515626853,0.5244444444444445,0.5066666666666667,0.01777777777777778,10,4,symmetry,17.29124849999789,True,False,97,independent_fallback
C4,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7469295967125293,2.7579042094144763,0.5533333333333333,0.5433333333333333,0.010000000000000009,10,4,symmetry,16.870692666969262,True,False,92,independent_fallback
C4,1,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.6541229673107116,2.7272513229788187,0.5311111111111111,0.5366666666666666,-0.005555555555555536,20,4,symmetry,26.75267337495461,True,False,97,independent_fallback
C4,1,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7159367498359273,2.708567016740101,0.5577777777777778,0.5366666666666666,0.02111111111111119,20,4,symmetry,26.783818375086412,True,False,92,independent_fallback
C4,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.367492786999469,2.4324893447731015,0.5511111111111111,0.535,0.016111111111111076,20,4,symmetry,28.920014957897365,True,False,97,independent_fallback
C4,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3902025020590822,2.3979994469219856,0.5711111111111111,0.5633333333333334,0.007777777777777772,20,4,symmetry,28.755657500005327,True,False,92,independent_fallback
C4,2,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.332696050028512,2.3736223210242278,0.5422222222222223,0.535,0.007222222222222241,40,4,symmetry,50.37744349997956,True,False,97,independent_fallback
C4,2,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2799797893870264,2.2526824327186317,0.5333333333333333,0.585,-0.05166666666666664,40,4,symmetry,50.49886491696816,True,False,92,independent_fallback
C4,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3700404740981367,2.3732102600654383,0.5511111111111111,0.5633333333333334,-0.012222222222222245,30,4,symmetry,40.71006837498862,True,False,97,independent_fallback
C4,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.330248592979988,2.3108709803527243,0.5511111111111111,0.5616666666666666,-0.01055555555555554,30,4,symmetry,41.34033858391922,True,False,92,independent_fallback
C4,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.320802671150004,2.350471067601731,0.5266666666666666,0.485,0.04166666666666663,60,4,symmetry,74.74916145892348,True,False,97,independent_fallback
C4,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.175318193425352,2.2092975253655944,0.5911111111111111,0.6016666666666667,-0.01055555555555554,60,4,symmetry,75.05370233301073,True,False,92,independent_fallback
D4,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7218424056674895,2.801042716499917,0.5333333333333333,0.5266666666666666,0.00666666666666671,9,8,symmetry,16.828544334042817,True,False,97,independent_fallback
D4,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7829595836930285,2.742834346181742,0.5333333333333333,0.5466666666666666,-0.013333333333333308,9,8,symmetry,16.823824333958328,True,False,92,independent_fallback
D4,1,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.649309598924077,2.7076461744387674,0.5311111111111111,0.5366666666666666,-0.005555555555555536,18,8,symmetry,25.98060904094018,True,False,97,independent_fallback
D4,1,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7095303854821386,2.692060673293227,0.5355555555555556,0.5483333333333333,-0.012777777777777777,18,8,symmetry,27.452618041075766,True,False,92,independent_fallback
D4,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3706153889572574,2.4147679919240335,0.5488888888888889,0.5383333333333333,0.01055555555555554,18,8,symmetry,30.754785084049217,True,False,97,independent_fallback
D4,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3598173006804264,2.3715819187054796,0.58,0.5533333333333333,0.026666666666666616,18,8,symmetry,28.440438541932963,True,False,92,independent_fallback
D4,2,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2758796338095233,2.3157307420074638,0.5688888888888889,0.565,0.0038888888888889417,36,8,symmetry,51.352096542017534,True,False,97,independent_fallback
D4,2,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2546756869092106,2.225111422393934,0.6022222222222222,0.6083333333333333,-0.006111111111111067,36,8,symmetry,51.22514912497718,True,False,92,independent_fallback
D4,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.401615494020257,2.4303787285233103,0.5422222222222223,0.525,0.01722222222222225,27,8,symmetry,38.808539667050354,True,False,97,independent_fallback
D4,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3378466694907396,2.354915689091842,0.5777777777777777,0.5816666666666667,-0.0038888888888889417,27,8,symmetry,39.09451420803089,True,False,92,independent_fallback
D4,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.25973182328873,2.291552035992034,0.5933333333333334,0.5683333333333334,0.025000000000000022,54,8,symmetry,72.97883399995044,True,False,97,independent_fallback
D4,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2315529996938377,2.2439899118092685,0.58,0.5983333333333334,-0.018333333333333424,54,8,symmetry,73.63026966701727,True,False,92,independent_fallback
