subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,1,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8428954112294124,2.6085914178007146,1.0,0.49,0.51,60,4,symmetry,552.0824572499841,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0653714113283366,2.6871063588960493,1.0,0.49,0.51,60,4,symmetry,552.7499183750479,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7228633544087352,2.565600088616783,1.0,0.49833333333333335,0.5016666666666667,60,4,symmetry,552.0313872919651,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2310141542344712,2.6160377558660057,0.9333333333333333,0.5,0.43333333333333335,60,4,symmetry,551.2650622079382,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0866344466565971,2.3458348925491777,0.8888888888888888,0.5233333333333333,0.3655555555555555,60,4,symmetry,551.155011542025,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8901890420333564,2.556292787510656,0.9444444444444444,0.5016666666666667,0.4427777777777777,60,4,symmetry,551.485797625035,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3229690712572126,2.5051795745014687,0.9444444444444444,0.535,0.4094444444444444,60,4,symmetry,554.1541765420698,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1786973703724175,2.797288357717211,1.0,0.465,0.5349999999999999,60,4,symmetry,623.554450207972,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2559257573733493,2.7074392533632197,0.9444444444444444,0.49166666666666664,0.4527777777777778,60,4,symmetry,704.6140972080175,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2990140125514589,2.150884124998854,0.875,0.5616666666666666,0.31333333333333335,60,4,symmetry,618.9557465420803,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.276524538756151,2.542687659399644,0.9166666666666666,0.5133333333333333,0.4033333333333333,60,4,symmetry,557.5466305410955,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3207106997623577,2.609616518919633,0.8333333333333334,0.48333333333333334,0.35000000000000003,60,4,symmetry,552.0259869999718,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1476713339919005,2.421530920371728,0.9166666666666666,0.5033333333333333,0.41333333333333333,60,4,symmetry,552.1819322500378,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4036648698265484,2.4652834024970702,0.8333333333333334,0.5166666666666667,0.31666666666666665,60,4,symmetry,551.5991967499722,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5027688473953247,2.120108337828925,0.8333333333333334,0.6016666666666667,0.2316666666666667,60,4,symmetry,551.5361466249451,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2659264680017714,2.602843621804643,0.8666666666666667,0.49333333333333335,0.37333333333333335,60,4,symmetry,552.0250073749339,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4822019261897386,2.2242510850480373,0.9,0.625,0.275,60,4,symmetry,555.9591952919727,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4002704012374245,2.5045656517622557,0.8,0.5183333333333333,0.28166666666666673,60,4,symmetry,586.3281829160405,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3234092448012271,2.3696070049643456,0.8666666666666667,0.5233333333333333,0.3433333333333334,60,4,symmetry,588.250947499997,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,45,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.593096390474109,2.237699809526041,0.8666666666666667,0.585,0.28166666666666673,60,4,symmetry,588.3905851669842,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,45,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5211053678599074,2.5711349215883392,0.8222222222222222,0.48,0.3422222222222222,60,4,symmetry,588.6028926250292,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,45,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4908946099837952,2.322443481272936,0.8444444444444444,0.5716666666666667,0.2727777777777778,60,4,symmetry,595.7240566250402,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,45,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5158535405674993,2.275209067516281,0.7555555555555555,0.5683333333333334,0.18722222222222218,60,4,symmetry,589.0206532500451,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,45,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.54210629606991,2.267329791574212,0.8,0.52,0.28,60,4,symmetry,587.9974318750901,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6665191430353345,2.2167872616315965,0.8333333333333334,0.59,0.2433333333333334,60,4,symmetry,587.6468543340452,True,True,0,disjoint,0.0,0.0,0,none,()
