subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
Z2_rot180,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.047085449903859,2.0831539423962964,0.7177777777777777,0.6716666666666666,0.0461111111111111,108,2,symmetry,562.6451737500029,True,False,96,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.03042409635957,2.094200556922076,0.6888888888888889,0.67,0.018888888888888844,108,2,symmetry,562.3382332500769,True,False,103,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.974192815361823,2.106627748813192,0.7022222222222222,0.6533333333333333,0.04888888888888887,108,2,symmetry,561.9511105000274,True,False,91,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,0,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1032000304713576,2.253356728533162,0.6488888888888888,0.585,0.06388888888888888,108,2,random,562.1695485829841,True,False,97,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,1,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0977169151781103,2.245692677704969,0.6311111111111111,0.5833333333333334,0.0477777777777777,108,2,random,570.7408983330242,True,False,92,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,2,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1304208456703706,2.299190765825114,0.6711111111111111,0.5633333333333334,0.10777777777777775,108,2,random,566.3127865840215,True,False,96,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,3,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.126506242623699,2.2252184853322654,0.6577777777777778,0.6133333333333333,0.04444444444444451,108,2,random,563.5829878749792,True,False,103,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,4,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0357256343052876,2.2051319935930644,0.6555555555555556,0.6083333333333333,0.047222222222222276,108,2,random,560.7964575419901,True,False,91,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9262309384463863,1.979412458564606,0.7533333333333333,0.715,0.03833333333333333,60,4,symmetry,548.8876056669978,True,False,97,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.02489227469271,2.0593219276889427,0.6511111111111111,0.665,-0.01388888888888895,60,4,symmetry,549.5610529578989,True,False,92,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9743614286297746,2.0065972897538575,0.7111111111111111,0.6816666666666666,0.029444444444444495,60,4,symmetry,549.8652223329991,True,False,96,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9989674346293032,2.010921798973722,0.6755555555555556,0.7,-0.02444444444444438,60,4,symmetry,549.4006342499051,True,False,103,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9993838048656556,2.047939057135436,0.6933333333333334,0.6833333333333333,0.010000000000000009,60,4,symmetry,549.9182355840458,True,False,91,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.2205532199415647,2.2810886210277674,0.6088888888888889,0.5883333333333334,0.02055555555555555,60,4,random,550.4990308330161,True,False,97,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.206548621089075,2.3009102314607,0.5955555555555555,0.54,0.05555555555555547,60,4,random,552.1687149589416,True,False,92,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.2165178715737466,2.299398588251181,0.5644444444444444,0.5183333333333333,0.0461111111111111,60,4,random,560.5974802500568,True,False,96,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1342214449245245,2.205333465143848,0.6088888888888889,0.5583333333333333,0.050555555555555576,60,4,random,559.9124153340235,True,False,103,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1846623686293096,2.3453310676452794,0.6133333333333333,0.5483333333333333,0.06499999999999995,60,4,random,559.5493687920971,True,False,91,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9624657970562687,2.029412334608228,0.7111111111111111,0.6783333333333333,0.032777777777777795,78,4,symmetry,563.0349255839828,True,False,97,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0128267301253224,2.0472356315642135,0.68,0.66,0.020000000000000018,78,4,symmetry,563.6393497500103,True,False,92,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.03718694574051,2.0773513077457952,0.7177777777777777,0.665,0.0527777777777777,78,4,symmetry,564.889776750002,True,False,96,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9930304455856072,2.033956637721013,0.6911111111111111,0.6583333333333333,0.032777777777777795,78,4,symmetry,560.5009181250352,True,False,103,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9171015926962927,2.041093866565489,0.72,0.6666666666666666,0.053333333333333344,78,4,symmetry,560.1749036669498,True,False,91,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,0,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.153110015379336,2.3287588761573286,0.6222222222222222,0.5533333333333333,0.06888888888888889,78,4,random,643.8090381670045,True,False,97,independent_fallback,0.0,0.0,0,none,()
D2_V4,3,2,1,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.196887988234384,2.3091619740306792,0.6311111111111111,0.585,0.0461111111111111,78,4,random,856.090359749971,True,False,92,independent_fallback,0.0,0.0,0,none,()
