subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices,circuit_family
D2_V4,3,2,9,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9491114234352656,2.17131023358759,0.7208333333333333,0.6166666666666667,0.1041666666666666,78,4,symmetry,736.764863666147,True,True,0,disjoint,0.0,0.0,0,none,(),edge
D2_V4,3,2,9,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9585963459072824,2.0166983218247725,0.7111111111111111,0.7,0.0111111111111111,78,4,symmetry,747.160849750042,True,False,93,independent_fallback,0.0,0.0,0,none,(),edge
D2_V4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0181543422190424,2.0365730394622332,0.6916666666666667,0.6833333333333333,0.0083333333333333,78,4,symmetry,717.7377050002106,True,False,124,independent_fallback,0.0,0.0,0,none,(),edge
D2_V4,3,2,9,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.922451677909626,2.011208971978826,0.7316666666666667,0.6883333333333334,0.0433333333333333,78,4,symmetry,730.9350494588725,True,False,127,independent_fallback,0.0,0.0,0,none,(),edge
D4,3,2,9,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5438602506045134,2.5568373368647728,0.8666666666666667,0.4883333333333333,0.3783333333333333,54,8,symmetry,724.3377825841308,True,True,0,disjoint,0.0,0.0,0,none,(),edge
D4,3,2,9,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5481133581644215,2.24132134260399,0.8333333333333334,0.6016666666666667,0.2316666666666667,54,8,symmetry,727.0700971670449,True,True,0,disjoint,0.0,0.0,0,none,(),edge
D4,3,2,9,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8739359553655544,2.1398660937185823,0.725,0.6283333333333333,0.0966666666666666,54,8,symmetry,724.9143534591421,True,True,0,disjoint,0.0,0.0,0,none,(),edge
D4,3,2,9,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.944136406770892,2.1354056151471363,0.725,0.6416666666666667,0.0833333333333332,54,8,symmetry,713.8929614578374,True,True,0,disjoint,0.0,0.0,0,none,(),edge
D4,3,2,9,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9958238974134197,2.0444899415452618,0.72,0.695,0.025,54,8,symmetry,731.9898924590088,True,False,93,independent_fallback,0.0,0.0,0,none,(),edge
D4,3,2,9,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9442391922234412,2.0138443792384955,0.695,0.6716666666666666,0.0233333333333333,54,8,symmetry,703.5963260000572,True,False,127,independent_fallback,0.0,0.0,0,none,(),edge
