subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0605519243228456,3.218117936385254,0.43333333333333335,0.3466666666666667,0.08666666666666667,25,1,symmetry,2.899939624941908,True,True,0,disjoint
none,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.019494185168183,3.243350425133176,0.5333333333333333,0.45666666666666667,0.07666666666666666,25,1,symmetry,2.846754499943927,True,True,0,disjoint
none,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9702794775336647,3.2146417571945367,0.44166666666666665,0.37,0.07166666666666666,25,1,symmetry,2.799980166950263,True,True,0,disjoint
D4,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9884896497824553,3.1176095618784028,0.4666666666666667,0.39,0.07666666666666666,6,8,symmetry,2.7695440410170704,True,True,0,disjoint
D4,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9922593828616604,3.1196223598881563,0.45,0.4666666666666667,-0.016666666666666663,6,8,symmetry,2.6441229580668733,True,True,0,disjoint
D4,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9340128221462343,3.131434656408871,0.49166666666666664,0.43333333333333335,0.05833333333333329,6,8,symmetry,2.7325244169915095,True,True,0,disjoint
