subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,2,1,0,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.1852887424924314,2.629051740199087,0.7,0.494949494949495,0.20505050505050498,68,1,symmetry,6.357704124995507,True,True,0,disjoint,0.0,0.0,0,none,()
none,2,1,1,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,1.9485159635132565,2.899956664967257,0.7666666666666667,0.43434343434343436,0.33232323232323235,68,1,symmetry,6.217737374943681,True,True,0,disjoint,0.0,0.0,0,none,()
none,2,1,0,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.1523202412545546,2.8720571105368276,0.6666666666666666,0.41919191919191917,0.24747474747474746,68,1,symmetry,6.4461482090409845,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433)"
none,2,1,1,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,1.9849796187151474,2.7675688434995602,0.7333333333333333,0.45454545454545453,0.27878787878787875,68,1,symmetry,5.877022375003435,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391)"
D4,2,1,0,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.39876189438727,2.5440965990216404,0.5666666666666667,0.5303030303030303,0.036363636363636376,18,8,symmetry,5.698475165991113,True,True,0,disjoint,0.0,0.0,0,none,()
D4,2,1,1,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.012218797376821,2.812144049697103,0.7333333333333333,0.40404040404040403,0.32929292929292925,18,8,symmetry,5.572496708948165,True,True,0,disjoint,0.0,0.0,0,none,()
D4,2,1,0,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.324874446213379,2.6605705078876865,0.6,0.5303030303030303,0.0696969696969697,18,8,symmetry,5.594783500069752,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433)"
D4,2,1,1,30,198,15,8,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.2563811159890705,2.604336884437514,0.6,0.5151515151515151,0.08484848484848484,18,8,symmetry,5.668486958020367,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391)"
