subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7605799528724831,2.5630579264567803,1.0,0.47,0.53,204,1,symmetry,602.6587346669985,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8625144546298121,2.7702411959253017,1.0,0.41833333333333333,0.5816666666666667,204,1,symmetry,597.5977183340583,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8705934248243863,2.6741141570604348,0.9666666666666667,0.43833333333333335,0.5283333333333333,204,1,symmetry,601.4264399170643,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.765239200559931,2.85938136693046,0.9666666666666667,0.3883333333333333,0.5783333333333334,204,1,symmetry,595.7330224160105,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7549146227751727,2.666994366109496,1.0,0.5016666666666667,0.4983333333333333,204,1,symmetry,604.0272042090073,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3624135088507008,2.4761772716658648,0.9666666666666667,0.49666666666666665,0.47000000000000003,204,1,symmetry,599.5525910409633,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.211938919790572,2.5459664270027536,0.9666666666666667,0.51,0.45666666666666667,204,1,symmetry,632.168242292013,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2157365205004722,2.59370257086095,0.95,0.48,0.47,204,1,symmetry,612.6115219169296,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2222029422646339,2.6667322894411316,0.9833333333333333,0.475,0.5083333333333333,204,1,symmetry,595.6495381250279,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2338812088294793,2.4920009995657164,0.9666666666666667,0.5066666666666667,0.45999999999999996,204,1,symmetry,576.3308015409857,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.556203618636765,2.369663183713886,0.875,0.555,0.31999999999999995,204,1,symmetry,588.663790749968,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.505075968139947,2.4115107125496267,0.8833333333333333,0.53,0.3533333333333333,204,1,symmetry,596.2090366249904,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4737271668648024,2.5089934010122152,0.8666666666666667,0.495,0.3716666666666667,204,1,symmetry,611.6434837080305,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4764136101435157,2.4486503411998837,0.8666666666666667,0.5183333333333333,0.3483333333333334,204,1,symmetry,617.4047950420063,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5155197446405841,2.5028002226560138,0.85,0.525,0.32499999999999996,204,1,symmetry,610.303040958941,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.842901105356862,2.2798668848267916,0.7583333333333333,0.5633333333333334,0.19499999999999995,204,1,symmetry,601.2952277079457,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7703258072796306,2.307202477363704,0.7833333333333333,0.53,0.2533333333333333,204,1,symmetry,599.0228202090366,True,True,0,disjoint,0.0,0.0,0,none,()
