figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.28099999999999997,0.034452060089992416,0.03019856214384318,78.0,D2_V4,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.2056666666666666,0.04504010558503511,0.03947939321834732,78.0,D2_V4,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.1058333333333333,0.04064155645532181,0.03562389491463401,78.0,D2_V4,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.03833333333333328,0.0144177103026233,0.012637680284093386,78.0,D2_V4,450.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.316,0.09321867957776607,0.08170977528899327,54.0,D4,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.21033333333333334,0.06308503960704327,0.055296475274449225,54.0,D4,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.12233333333333332,0.011820415484331449,0.01036105099774044,54.0,D4,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.0678333333333333,0.02380913690161833,0.020869628650265985,54.0,D4,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.0232222222222222,0.016374287280691548,0.0143526956215527,54.0,D4,450.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.4923333333333333,0.041106230941576546,0.03603120006019477,126.0,Z2_reflection,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.3793333333333333,0.0656336634493137,0.05753044256932343,126.0,Z2_reflection,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.2606666666666667,0.015302505241517337,0.01341323724286321,126.0,Z2_reflection,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.1468333333333333,0.032066554053856326,0.02810757391008893,126.0,Z2_reflection,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.04411111111111106,0.013747053556361844,0.012049823727003285,126.0,Z2_reflection,450.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.4246666666666667,0.06185107562165392,0.05421485815202731,108.0,Z2_rot180,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.33633333333333326,0.048596982073650076,0.042597132923863947,108.0,Z2_rot180,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.233,0.026624967396954517,0.023337812903335923,108.0,Z2_rot180,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.12866666666666657,0.022178255116216912,0.019440097736379856,108.0,Z2_rot180,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.0355555555555555,0.012177950120434997,0.010674443923990605,108.0,Z2_rot180,450.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.5433333333333333,0.03578485092263985,0.03136680481726574,204.0,none,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.473,0.020628997929021085,0.018082113937381458,204.0,none,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.3436666666666667,0.02125898502855786,0.01863432197735022,204.0,none,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.22616666666666663,0.04424756741587293,0.038784702883711455,204.0,none,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,generalization_gap,5,0.09388888888888886,0.018181186857726128,0.015936512932396556,204.0,none,450.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.03699999999999998,0.03458885498088788,0.03031846815244982,,,3.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.01399999999999999,0.0378337004387476,0.033162700600390074,,,6.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.014333333333333354,0.04575903068126431,0.04010955884961976,,,9.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.02733333333333333,0.06830893873506687,0.05987542474913138,,,12.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.005999999999999983,0.0351504702039042,0.030810745600268186,,,15.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0050000000000000044,0.05592653911854172,0.0490217729404213,,,18.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.004999999999999993,0.04104536785341586,0.035977851211235215,,,24.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.021666666666666647,0.04346134936801766,0.038095552379655964,,,30.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.0023333333333333205,0.025456935313496725,0.02231398764103909,,,45.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,-0.011333333333333351,0.02212339134139349,0.019392007517416952,,,60.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.01100000000000001,0.037520364840680526,0.03288804983914705,,,90.0,,,,,,
fig03,results_lowdata_goldilocks_c4_d4_L3p2.csv,C4_minus_D4_test_accuracy,5,0.0003333333333332966,0.05529466520379704,0.04846791103400271,,,120.0,,,,,,
fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5506666666666666,0.025701275368268325,0.02252816114210046,60.0,C4,,random,,,,,
