subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0035399498212043,2.1300294832068984,0.685,0.6216666666666667,0.0633333333333333,204,1,symmetry,1083.300297374837,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9707326917237848,1.9710053005928911,0.6883333333333334,0.6883333333333334,0.0,60,4,symmetry,1706.6270623751916,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7702583333422004,1.8311291334317863,0.8066666666666666,0.785,0.0216666666666666,96,4,symmetry,5454.153542750049,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.6821790737619056,1.6955937047853444,0.8633333333333333,0.86,0.0033333333333332,90,8,symmetry,5076.470674499869,True,False,133,independent_fallback,0.0,0.0,0,none,()
none,3,2,0,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.91639921957674,2.0940552848360454,0.735,0.6533333333333333,0.0816666666666666,204,1,symmetry,1825.9437959576023,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9153664273201665,1.9204750709998375,0.7833333333333333,0.7583333333333333,0.025,60,4,symmetry,1868.904846041929,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7423986671222853,1.7698953390502516,0.8083333333333333,0.795,0.0133333333333333,96,4,symmetry,6921.790701415855,True,False,122,independent_fallback,0.0,0.0,0,none,()
none,3,2,1,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9442538256610733,2.1103215959072643,0.6783333333333333,0.625,0.0533333333333333,204,1,symmetry,1815.633768042084,True,False,122,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.927210834266629,1.9333862994661584,0.6983333333333334,0.71,-0.0116666666666666,54,8,symmetry,1854.2610584590584,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.739643343354871,1.757332206007297,0.7983333333333333,0.78,0.0183333333333333,96,4,symmetry,6854.772999667097,True,False,133,independent_fallback,0.0,0.0,0,none,()
